territory,store,Purchase Inventory (₹),Quantity
Raichur,MANVI SUGGI,791457,504
Raichur,LINGASUGUR SUGGI,780580,741
Raichur,MASKI SUGGI,753600,471
Raichur,POTNAL SUGGI,537600,336
Bellary,SIRUGUPPA SUGGI,501383,1783
Belagum,BILAGI SUGGI,336000,225
Ranebennur,HAMPASAGAR SUGGI,268456,288
Bellary,KOLUR CROSS SUGGI,259520,1134
Bellary,KURAGODU SUGGI,219829,914
Ranebennur,GUTTAL SUGGI,211488,574
Raichur,BHALKI SUGGI,195733,276
Bellary,EMMIGANUR SUGGI,107664,468
Raichur,KAMALAPUR SUGGI,106220,226
Ranebennur,BADA SUGGI,80010,248
Belagum,RAIBAG SUGGI,59853,149
Bellary,CHALLAKERE SUGGI,52071,47
Belagum,HARUGERI SUGGI,45120,96
Belagum,ATHANI SUGGI,41790,101
Bellary,RAMPURA SUGGI,41076,53
Bellary,MOLAKALMURU SUGGI,39429,97
Ranebennur,HAMSABHAVI SUGGI,38889,175
Ranebennur,MASUR SUGGI,20416,86
Ranebennur,HADAGALI SUGGI,10503,63
Ranebennur,HANGAL SUGGI,8314,60
Ranebennur,KUNDUR SUGGI,2783,18
